44.00
10/Sep/2025	14:53:39	8000
2.00	44.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6
-516318.375	516253.4375	517592.40625	400767.65625	-10096.1962890625	-213.626678466797
-521361.125	516253.4375	517724.75	287821.71875	-15010.8037109375	-178.474945068359
-511693.15625	516247.65625	517598.90625	182866.703125	-21221.38671875	-154.13916015625
-532208.25	516376	517780.59375	72371.4609375	-28264.345703125	-100.164596557617
-367993.28125	516882.75	517730.5625	-32423.677734375	-35650.453125	-36.1696166992188
144263.71875	516899.65625	517730.1875	-137251.625	-43464.7109375	-25.8730220794678
500757.375	516989.90625	518080.375	-241775.734375	-51451.37890625	8.20686149597168
520487.9375	517124.125	517708.0625	-340482.1875	-59916.26953125	30.1635341644287
515973.25	516678.0625	518321.9375	-444576.28125	-69312.5078125	41.4052619934082
520105.15625	517450.46875	517632	-513277.09375	-79559.765625	51.1174049377441
515939.375	516464.03125	518226.15625	-518128.28125	-91030.9140625	22.4773750305176
519745.71875	517408.46875	517986.625	-515932.03125	-102111.8984375	-82.3182525634766
516715.21875	516879.78125	517525.53125	-517944.40625	-111729.7890625	-574.364135742188
518734.46875	516557.96875	519141.09375	-516223.21875	-120616.1875	-1530.57739257812
517742.21875	518144.34375	515648.34375	-517526.15625	-128268.5234375	-3432.23217773438
517889.40625	514925.21875	522914.75	-516681.28125	-135198.875	-5968.89892578125
518288.09375	520202.40625	485699.59375	-517052.53125	-141280.015625	-6915.08154296875
517665.15625	511799.84375	361328.25	-516879.78125	-145253.5	-6642.4853515625
518254.09375	528066.8125	222454.9375	-516679.21875	-146276.25	-7324.90625
517851.28125	425057.09375	85232.5859375	-516817.71875	-143525.6875	-8369.5107421875
517985.53125	-41239.3125	-65474.2109375	-516526.78125	-137256.59375	-8697.1396484375
517715.09375	-466445.78125	-207657.9375	-516608.71875	-126545.3203125	-8073.73291015625
517285.65625	-525807.1875	-363180.1875	-516449.03125	-110944.09375	-6181.92236328125
517249.34375	-511949.40625	-494422.4375	-516400.65625	-91116.5	-3844.3515625
517250.59375	-520691.53125	-522749.46875	-516338.78125	-66541.1796875	-2236.98095703125
517250.59375	-514288.84375	-515286.875	-516255.34375	-38409.5078125	-1304.74438476562
517250.59375	-518790.90625	-519680.78125	-516248.40625	-8058.2705078125	-645.115600585938
517250.59375	-516054.21875	-517031.71875	-516248.65625	24300.9921875	-118.121116638184
517250.59375	-517251.78125	-518405.28125	-516248.65625	57969.8359375	101.852935791016
517250.59375	-517226.65625	-517967.09375	-516248.65625	93219.0078125	-462.707763671875
517250.59375	-516534.84375	-517789.46875	-516248.65625	129433.6953125	-1957.26330566406
517250.59375	-517502.21875	-518292.28125	-516248.65625	165296.46875	-4551.78125
517250.59375	-516602.78125	-517694.40625	-516248.65625	200616	-8461.66796875
517250.59375	-517254.15625	-518142.96875	-516247.9375	234609.6875	-13671.4892578125
517250.59375	-517153.71875	-517688.28125	-516275.75	267797.46875	-20246.197265625
517250.59375	-517268.46875	-517762.15625	-516360.78125	300811.125	-28235.958984375
517250.59375	-517301.34375	-517624.90625	-516374.6875	334183.84375	-37759.37109375
517250.59375	-517091.0625	-517473.59375	-516493.875	367516.03125	-48702.41015625
517250.59375	-516789.09375	-517432.34375	-516525.625	401275.40625	-60485.38671875
517252.8125	-517258.875	-517277.03125	-516566.6875	435079.59375	-72634.8828125
517387.75	-516690.46875	-517245.15625	-516770.84375	466582.40625	-84978.7734375
517555.21875	-517224.875	-517245.78125	-516572.875	498402.8125	-97268.2421875
517551.625	-516940.59375	-517245.78125	-517041.84375	517440.875	-109219.9765625
517889.25	-516697.03125	-517245.78125	-516646.71875	517825.625	-120569.515625
517661.875	-517770.59375	-517245.78125	-517125.46875	517585.6875	-131028.8203125
518032.40625	-515575.625	-517245.78125	-517003.03125	518006.375	-140436.34375
517964.0625	-519141.8125	-517245.78125	-516656.71875	517474.5625	-148341.90625
517738.4375	-513928.96875	-517245.78125	-517790.25	518072.65625	-154009.046875
518573.75	-521653.96875	-517245.78125	-515463.875	517437.9375	-156649.234375
517051.8125	-498901.09375	-517244.78125	-520043.5625	518095.9375	-155422.9375
519216.5625	-331490.28125	-517260.21875	-495208.90625	517435.75	-149797.921875
516683.5	-100995.6015625	-517417.96875	-417206.71875	518136.3125	-139637.015625
519029.34375	102841.78125	-517515.5625	-332672.1875	516490.5625	-124507.921875
517728.25	325124.625	-517616	-245649.578125	496867.40625	-104042.2265625
516549.46875	493420.125	-517886.5	-153180.765625	468065.46875	-78790.2265625
522069.03125	522464.84375	-517739	-59173.37109375	439518.3125	-48635.171875
407258.5	513809.5625	-518233.4375	39181.94140625	408364.34375	-13863.0751953125
202329.984375	519020.21875	-517717.71875	136959.9375	376599.34375	23772.927734375
32657.896484375	515817.375	-518140.5625	238750.453125	343378.53125	63519.78515625
-121275.8046875	517546.28125	-518084.5	334916.1875	309039.75	104126.2421875
-254516.21875	516901.78125	-517445.3125	437097.0625	274113.34375	143829.734375
-358563	516820.75	-519083.8125	511231.75	238333.375	182184.375
-443898.65625	517313.625	-516259.90625	518625.96875	202130.421875	218576.09375
-503180.15625	516771.15625	-520242.15625	515677.1875	165413.40625	252490.875
-520348.375	517389.21875	-515356.40625	518086.71875	128467.4921875	283602.8125
-517391.09375	516990.46875	-520967.21875	516160.90625	91114.3046875	311376.125
-518656.9375	517283.15625	-508000.40625	517594.78125	53563.109375	335983.4375
-518097.84375	516916.8125	-375877.90625	516784.8125	15940.75390625	357687.8125
-518508.1875	517005.53125	-190616.734375	517077.84375	-21556.474609375	376322.03125
-500891.5625	516701.34375	-11467.5390625	517150.75	-58462.9609375	391841.03125
-464645.84375	516739.03125	169723.8125	516790.9375	-94807.8125	404158.4375
-422775.3125	516740.1875	364786.03125	517215.4375	-130510.8984375	412947.5625
-376604.71875	516436.75	507187.21875	516752.375	-165351.125	418099.28125
-332748.78125	517258.4375	521280.875	517008.65625	-199132	419777.90625
-289646.5625	515920.125	515147.96875	516912.0625	-231587.59375	418051.96875
-248791.296875	517796.71875	520423.46875	516589.625	-262584.28125	413160.1875
-213090.546875	515469.125	516149.59375	517199.875	-291926.96875	405673.40625
-180520.90625	518270.1875	519171.96875	516080.1875	-319468.71875	395941
-152215.703125	511416.46875	517420.59375	517496.5	-345179.4375	384246.78125
-129193.7890625	442158.96875	518101.21875	515788.90625	-369358.625	370852.25
-113602.109375	353342.53125	518166.46875	517757.90625	-391717.5	355785.8125
-106330.53125	284248.8125	517705.46875	513200.875	-412742.53125	339056.78125
-105619.4453125	221462.609375	518267.71875	459513.0625	-432330.125	320411.125
-116028.421875	168079.078125	517736.46875	384682.125	-450546.6875	299485.625
-136286.40625	114639.4765625	517918.59375	317485.625	-468405.25	275838.125
-166193.5	57859.35546875	517637.71875	249025.921875	-485055.46875	248928.984375
-207967.21875	-1486.04504394531	517535.71875	185980.640625	-503506.375	218372.234375
-261715.265625	-60863.8359375	517435.46875	126646.171875	-516708.75	183988.265625
-324470.71875	-109699.0625	517263.09375	72367.3203125	-517746.09375	145949.40625
-397525.65625	-141859.5	517244.59375	24374.955078125	-517257.375	104572.578125
-479808.5625	-157128.6875	517244.84375	-18185.6953125	-517647.09375	60431.72265625
-519756.78125	-160098.671875	517244.84375	-53523.67578125	-517275.0625	14446.3974609375
-516559.84375	-157443.546875	517244.84375	-82076.3828125	-517514.21875	-32422.09765625
-517655.65625	-155194.96875	517244.84375	-102720.75	-517330.5625	-79125.1640625
-517719.65625	-155204.25	517244.84375	-115440.9609375	-517386.96875	-124457.875
