0.00
10/Sep/2025	14:53:39	8000
2.00	0.00

Channel 1	Channel 2	Channel 3	Channel 4
175045.03125	-520906.3125	27446.259765625	107443.7890625
156026.578125	-521031.25	32826.921875	107376.765625
136177.453125	-520714.21875	38385.875	106258.203125
113219.8359375	-521207.9375	43763.40625	104238.3828125
87352.34375	-520612.03125	48517.26171875	101418.984375
61881.546875	-521225.375	52221.890625	97895.3515625
40884.3515625	-520900.875	54688.33984375	93772.7890625
27204.943359375	-520792.09375	55782.9296875	89218.9453125
21016.9296875	-521677.59375	55503.2265625	84306.34375
18319.21875	-491973.0625	54033.12890625	79105.7265625
13654.091796875	-436305.9375	51646.28515625	73791.3515625
3818.87768554688	-381441.09375	48732.234375	68445.4609375
-11245.0537109375	-322692.8125	45692.86328125	63162.80078125
-28102.68359375	-262472.375	42784.2578125	58103.953125
-40947.9375	-201709.59375	40205.44921875	53345.9375
-45593.26953125	-139901.890625	38086.3828125	48859.32421875
-42483.30078125	-79200.2421875	36439.19921875	44594.484375
-35409.671875	-18864.056640625	35296.08203125	40516.59765625
-29243.453125	39908.44921875	34734.3359375	36574.97265625
-28031.46484375	97049.625	34731.59765625	32730.669921875
-32190.873046875	151696.078125	35297.83203125	28915.775390625
-37911.26953125	204282.34375	36421.36328125	25135.1015625
-39924.46484375	253935.515625	37935.55078125	21386.134765625
-34486.08203125	301082.875	39767.0625	17750.7265625
-21262.24609375	345370.90625	41810.86328125	14399.5419921875
-3670.70654296875	386809.78125	43929.45703125	11372.3935546875
13508.4638671875	426251	46054.54296875	8741.1943359375
26676.09765625	461807.15625	48016.58203125	6504.861328125
35042.58203125	497989.3125	49613.9453125	4702.50341796875
41460.32421875	520469.8125	50650.83203125	3484.73364257812
49867.2734375	521142.65625	50988.8046875	2933.91430664062
62719.52734375	520639.625	50567.390625	3140.9990234375
80573.6328125	521159.03125	49307.7890625	4030.05419921875
101227.9765625	520559.5	47160.75	5393.1181640625
121242.515625	520982.09375	44163.71484375	7167.28662109375
138917	520613.5	40398.43359375	9256.3330078125
153861.484375	520757.96875	35927.296875	11449.1240234375
166436.96875	520657.8125	30881.169921875	13647.5966796875
178182.265625	520600.875	25416.150390625	15730.3095703125
190123.234375	520629.4375	19696.4765625	17522.896484375
202027.609375	520527.25	13858.5869140625	19046.6015625
213809.0625	520552.75	7932.55712890625	20285.927734375
225560.359375	520491.125	1954.05578613281	21222.251953125
236590	520494.8125	-4139.41162109375	21988.615234375
246008.453125	520529.5625	-10474.123046875	22681.8515625
253173.921875	520512.5625	-17159.275390625	23397.2734375
256760.796875	520591.3125	-24309.70703125	24217.638671875
255617.4375	520618	-32013.466796875	25298.404296875
250173.625	520639.65625	-40325.0703125	26668.76171875
241883.796875	520788.25	-49227.08203125	28232.73828125
232629.046875	520645.8125	-58578.37890625	29973.48828125
223887.5	520968.90625	-68100.65625	31807.904296875
215069.890625	520707.65625	-77562.8828125	33719.3359375
203327.265625	521011.8125	-86716.2578125	35616.37109375
185561.78125	520985.28125	-95273.21875	37436.92578125
160648.15625	520755.5	-103045.8125	39176.04296875
130354.515625	521613.375	-109841.890625	40701.4140625
98936.78125	520009.375	-115533.8828125	42038.25
71109.9453125	523255.84375	-120035.8984375	43236.8203125
48950.58984375	507312.90625	-123341.6796875	44361.98046875
30757.611328125	454839.90625	-125551.5390625	45392.375
12496.6376953125	396847.03125	-126659.7265625	46221.86328125
-9820.4130859375	337507.40625	-126745.9140625	46986.79296875
-37933.02734375	273666.1875	-125904.1953125	47733.15625
-69866.3515625	209305.96875	-124107.8203125	48432.87890625
-100619.6875	142082.859375	-121458.078125	49149.90625
-125941.1640625	74612.5078125	-118036.40625	49857.18359375
-144448.796875	6419.98876953125	-113848.2265625	50520.546875
-157603.640625	-61374.5625	-108978.2578125	51111.6953125
-169695.953125	-128189.9765625	-103405.4296875	51630.71875
-184684.171875	-193115.71875	-97039.3203125	52111.87890625
-203103.734375	-255751.34375	-89905.4921875	52518.1796875
-222561.421875	-314706.6875	-81910.0859375	52846.05078125
-238753.03125	-369977.53125	-72935.4765625	53091.02734375
-247451.90625	-420220.8125	-62889.73828125	53271.6953125
-247683.6875	-464465.125	-51674.69921875	53434.5
-241957.875	-504017.90625	-39367.73046875	53540.75
-233976.828125	-522178.15625	-26021.9140625	53558.40234375
-227053.1875	-520978.71875	-11771.126953125	53439.11328125
-222369.4375	-521304.53125	3111.38793945312	53171.9609375
-218298.09375	-521508.65625	18392.453125	52810.2734375
