4.00
10/Sep/2025	14:53:39	8000
2.00	4.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9	Channel 10	Channel 11	Channel 12
517085.125	522613.40625	-377230.9375	-521945.8125	-6182.607421875	-21290.904296875	-465.277099609375	301.103607177734	-440.857482910156	80.2420883178711	-491.854217529297	-0.137923419475555
515669.5	523607.40625	-426224.59375	-523873.40625	-1293.12731933594	-7848.345703125	-542.470886230469	301.325103759766	-458.542633056641	75.2853469848633	-527.631652832031	-21.1125869750977
517868.65625	522598.9375	-467579.65625	-522253.25	4097.54931640625	12154.515625	-617.8603515625	248.044631958008	-473.38671875	31.2600879669189	-655.281066894531	-16.0212783813477
515111.125	523270	-501268.875	-523356.5625	9762.693359375	36097.6875	-712.405151367188	268.561706542969	-498.339813232422	66.3017196655273	-614.437438964844	9.3435640335083
517798.25	523271.375	-516510.1875	-522633.3125	15712.810546875	61173.44921875	-847.486694335938	274.076354980469	-513.109191894531	7.57730674743652	-618.750183105469	-29.7342967987061
516234.03125	521694.75	-516391.5	-522881.15625	22288.62890625	84786.28125	-987.277465820312	235.042785644531	-499.299591064453	-25.9531116485596	-672.579650878906	-7.2640061378479
515210.09375	525912.875	-516188.28125	-522838.90625	29165.50390625	105429.9453125	-1218.54711914062	231.426940917969	-534.444396972656	-16.2269229888916	-555.512512207031	-4.55025100708008
520687	470874.15625	-516617.25	-522626.21875	36395.29296875	122765.4921875	-1456.5576171875	188.860610961914	-504.095336914062	-82.3915786743164	-584.338562011719	-65.8049011230469
508146.34375	350379.375	-515417.1875	-522821.1875	44695.71484375	137164.703125	-1768.97155761719	179.098602294922	-466.962493896484	-59.1717262268066	-601.608703613281	-56.0011444091797
533580.5625	227764.546875	-506780.4375	-522660.25	53038.3671875	150173.40625	-2227.97094726562	172.010513305664	-480.737884521484	-81.1635513305664	-562.391784667969	-44.356517791748
423225.40625	99825.734375	-495587.09375	-522757.125	61237.0390625	163860.78125	-2768.86987304688	136.866744995117	-463.828491210938	-123.212882995605	-568.344787597656	-41.5124015808105
78023.5078125	-30257.5625	-491100.59375	-522746	69373.734375	179523.0625	-3483.015625	130.789794921875	-452.976226806641	-130.061431884766	-511.039306640625	-17.1512317657471
-285718.71875	-155073.953125	-491245.1875	-522754	76179.6015625	197414.25	-4341.79296875	103.205070495605	-418.505401611328	-131.009475708008	-522.877075195312	-8.50549125671387
-502292.40625	-275833.875	-500773.4375	-522722	82752.0390625	216924.359375	-5392.19970703125	88.2387237548828	-404.640319824219	-135.620086669922	-533.598999023438	1.42013025283813
-523018.65625	-377716.5	-514027.90625	-522883.75	89573.96875	237142.703125	-6684.83984375	79.3424453735352	-371.194091796875	-159.7197265625	-513.854797363281	25.2531776428223
-511034.84375	-460868.03125	-516700.25	-522655.125	95215.9609375	256950.484375	-8213.751953125	11.3185558319092	-306.601806640625	-150.944046020508	-536.991149902344	34.1549949645996
-521018.5625	-513098.28125	-515955.375	-523113	99210.359375	275186.34375	-10045.294921875	-39.6848831176758	-256.042053222656	-155.014236450195	-533.517028808594	25.122350692749
-513801.59375	-525228.5	-516456.375	-522771.9375	100777.2265625	291098.03125	-12150.07421875	-105.251358032227	-216.403823852539	-147.982437133789	-526.2412109375	69.8330535888672
-518582.78125	-522856.65625	-516088.3125	-523121.5	100315.796875	304366.3125	-14515.91015625	-230.056503295898	-189.807205200195	-172.318664550781	-543.617065429688	102.091102600098
